example_id                                                                   | status  | run_time        |
./spec/controllers/users_controller_spec.rb[1:5:2:3:1]                       | passed  | 0.13008 seconds |
./spec/controllers/visitors_controller_spec.rb[1:1:1:1]                      | failed  | 0.00961 seconds |
./spec/controllers/visitors_controller_spec.rb[1:1:1:2]                      | failed  | 0.00944 seconds |
./spec/controllers/visitors_controller_spec.rb[1:1:2:1]                      | passed  | 0.10631 seconds |
./spec/features/admins/all_links_spec.rb[1:1]                                | failed  | 0.65864 seconds |
./spec/features/duty_tasks/duty_tasks_spec.rb[1:1]                           | passed  | 0.34106 seconds |
./spec/features/duty_tasks/duty_tasks_spec.rb[1:2]                           | passed  | 0.42772 seconds |
./spec/features/groups/see_group_detail_spec.rb[1:1]                         | passed  | 0.40896 seconds |
./spec/features/groups/see_group_detail_spec.rb[1:2]                         | passed  | 0.54191 seconds |
./spec/features/matches/add_match_spec.rb[1:1]                               | passed  | 1.2 seconds     |
./spec/features/section_coachs/add_training_spec.rb[1:1]                     | passed  | 0.55262 seconds |
./spec/features/section_coachs/invite_user_spec.rb[1:1]                      | passed  | 0.71561 seconds |
./spec/features/section_coachs/renew_participations_spec.rb[1:1]             | passed  | 0.58533 seconds |
./spec/features/section_coachs/send_manual_training_invitations_spec.rb[1:1] | passed  | 0.49723 seconds |
./spec/features/section_coachs/send_sms_notification_spec.rb[1:1]            | passed  | 0.43471 seconds |
./spec/features/section_coachs/send_sms_notification_spec.rb[1:2]            | passed  | 0.26732 seconds |
./spec/features/training_presences/fill_in_training_presences_spec.rb[1:1]   | failed  | 0.3136 seconds  |
./spec/features/users/sign_in_spec.rb[1:1]                                   | passed  | 0.14774 seconds |
./spec/features/users/sign_in_spec.rb[1:2]                                   | passed  | 0.28164 seconds |
./spec/features/users/sign_in_spec.rb[1:3]                                   | passed  | 0.15566 seconds |
./spec/features/users/sign_in_spec.rb[1:4]                                   | passed  | 0.11492 seconds |
./spec/features/users/sign_out_spec.rb[1:1]                                  | passed  | 0.3456 seconds  |
./spec/features/users/user_edit_spec.rb[1:1]                                 | passed  | 0.30339 seconds |
./spec/features/users/user_edit_spec.rb[1:2]                                 | passed  | 0.16546 seconds |
./spec/features/users/user_index_spec.rb[1:1]                                | passed  | 0.14268 seconds |
./spec/features/users/user_show_spec.rb[1:1]                                 | passed  | 0.12901 seconds |
